Origine,Destination,Ligne
1,133,12
1,199,12
2,178,4
2,216,4
3,12,2
3,196,2
4,97,9
4,116,9
5,146,3
5,208,3
6,14,2
6,199,2
7,48,1
7,235,1
8,242,11
8,245,3
8,247,11
8,287,3
9,64,12
9,282,12
10,96,7
10,225,7
11,49,10
11,130,10
12,3,2
12,179,2
13,147,8
14,6,2
14,53,4
14,106,4
14,126,2
15,260,13
15,261,13
16,35,5
16,58,8
16,105,1
16,137,8
16,240,5
16,272,1
17,78,6
17,197,6
18,62,2
18,71,2
18,110,11
18,238,11
19,52,1
19,268,1
20,69,14
20,80,6
20,105,14
20,239,6
21,69,14
21,185,14
22,166,9
22,210,9
23,81,6
23,190,6
24,199,2
24,201,2
25,26,5
26,25,5
26,87,5
27,125,6
27,291,6
28,37,7bis
28,120,7bis
29,111,8
29,111,9
29,284,8
29,284,9
30,37,7bis
30,202,7bis
31,94,8
31,147,8
32,33,10
32,172,10
33,32,10
34,241,3
34,278,3
35,16,5
35,249,5
36,129,13
36,222,13
37,28,7bis
37,30,7bis
38,164,9
38,179,9
39,136,7
39,206,7
40,130,6
40,280,6
41,200,5
41,269,5
42,124,10
42,168,10
43,156,13
43,260,13
44,140,7
44,203,7
45,64,1
45,97,1
45,117,13
45,174,13
46,173,10
47,84,8
47,143,8
48,7,1
48,108,1
48,125,6
48,288,2
48,297,2
49,11,10
49,121,10
50,255,9
50,303,9
51,104,4
51,284,4
52,19,1
53,14,4
53,165,4
54,104,7
54,145,7
55,60,4
55,105,14
55,115,1
55,115,11
55,141,4
55,148,1
55,211,7
55,212,7
55,237,14
56,162,13
57,113,9
57,136,7
57,186,7
57,250,9
58,16,8
58,275,8
59,180,6
59,239,6
60,55,4
60,270,4
61,168,10
61,184,10
62,18,2
62,120,2
63,94,8
63,130,8
64,9,12
64,45,1
64,117,8
64,150,12
64,150,8
64,292,1
65,231,12
65,295,12
66,75,7
66,225,7
67,151,12
67,231,12
68,109,6
68,200,6
69,20,14
69,21,14
70,175,2
70,288,2
71,18,2
71,169,2
72,74,8
72,159,8
73,74,8
73,205,8
74,72,8
74,73,8
75,66,7
75,251,7
76,154,9
76,252,9
77,30,7bis
78,17,6
78,80,6
78,170,8
78,176,8
79,178,4
79,244,4
79,244,6
79,266,6
80,20,6
80,78,6
81,23,6
81,130,6
82,177,13
82,263,13
82,277,10
82,293,10
83,130,8
83,132,8
84,47,8
84,160,8
85,177,6
85,244,6
86,171,10
87,26,5
87,114,5
88,128,1
88,209,1
89,141,4
89,245,4
90,267,3
90,301,3
91,172,9
91,228,9
92,137,8
92,248,8
93,177,12
93,191,12
94,31,8
94,63,8
95,247,8
95,275,8
96,10,7
96,127,7
97,4,9
97,45,1
97,108,1
97,273,9
98,224,12
99,138,13
99,153,13
100,177,13
100,195,13
101,218,3
102,192,3bis
102,193,3
102,218,3
103,124,10
103,240,5
103,269,5
104,51,4
104,54,7
104,106,4
104,106,5
104,118,5
104,206,7
105,16,1
105,20,14
105,55,14
105,248,1
106,14,4
106,104,4
106,104,5
106,283,5
107,156,13
107,229,13
108,48,1
108,97,1
109,68,6
109,266,6
110,18,11
110,247,11
111,29,8
111,29,9
111,250,8
111,250,9
112,129,13
112,229,13
113,57,9
113,186,3
113,259,9
113,267,3
114,87,5
114,227,5
115,55,1
115,55,11
115,242,11
115,272,1
116,4,9
116,291,9
117,45,13
117,64,8
117,132,8
117,294,13
118,104,5
118,247,5
119,171,9
119,243,9
120,28,7bis
120,62,2
120,134,5
120,145,7bis
120,283,2
120,283,5
121,49,10
121,86,10
122,202,11
122,238,11
123,133,12
123,165,12
124,42,10
124,103,10
124,203,7
124,285,7
125,27,6
125,48,6
126,14,2
126,283,2
127,96,7
128,88,1
129,36,13
129,112,13
129,201,13
130,11,10
130,40,6
130,63,8
130,81,6
130,83,8
130,277,10
131,243,9
131,254,9
132,83,8
132,117,8
133,1,12
133,123,12
134,120,5
134,187,5
135,158,7
135,298,7
136,39,7
136,57,7
137,16,8
137,92,8
138,99,13
138,139,13
139,138,13
140,44,7
140,200,7
141,55,4
141,89,4
142,209,1
142,235,1
143,47,8
143,220,8
144,201,13
144,267,13
145,54,7
145,120,7bis
145,283,7
146,5,3
146,219,3
147,13,8
147,31,8
148,55,1
148,188,1
149,184,10
149,279,10
150,64,12
150,64,8
150,186,8
150,237,14
150,267,12
150,267,14
151,67,12
152,198,7
153,99,13
153,222,13
154,76,9
155,216,4
156,43,13
156,107,13
156,271,14
157,233,11
158,135,7
158,214,7
158,289,7
159,72,8
159,160,8
160,84,8
160,159,8
161,162,13
161,230,13
162,56,13
162,161,13
163,301,3
163,304,3
164,38,9
164,226,9
165,53,4
165,123,12
165,167,12
165,281,4
166,22,9
166,228,9
167,165,12
167,224,12
168,42,10
168,61,10
169,71,2
169,193,2
170,78,8
170,234,8
171,119,9
171,172,9
171,213,10
172,46,10
172,91,9
172,171,9
173,121,10
174,45,13
174,259,9
174,267,13
174,273,9
175,70,2
175,301,2
176,78,8
176,248,8
177,82,13
177,85,6
177,93,12
177,100,13
177,182,12
177,191,6
177,274,4
177,296,4
178,2,4
178,79,4
179,12,2
179,38,9
179,197,6
179,232,1
179,248,1
179,255,9
180,59,6
180,200,6
181,264,12
181,290,12
182,177,12
182,246,12
183,247,5
183,247,9
183,249,5
183,258,9
184,61,10
184,149,10
184,265,4
184,270,4
185,21,14
186,57,7
186,113,3
186,150,8
186,237,7
186,241,3
186,250,8
187,134,5
187,227,5
188,148,1
188,212,7
188,237,7
188,292,1
189,247,3
189,257,3
190,23,6
190,291,6
191,93,12
191,177,6
191,280,6
191,302,12
192,102,3bis
192,262,3bis
193,102,3
193,169,2
193,196,2
193,257,3
194,219,3
194,304,3
195,100,13
195,204,13
196,3,2
196,193,2
197,17,6
197,179,6
198,152,7
198,215,7
199,1,12
199,6,2
199,24,2
199,264,12
200,41,5
200,68,6
200,140,7
200,180,6
200,289,7
201,24,2
201,129,13
201,144,13
201,253,2
202,122,11
202,236,7bis
202,286,11
203,44,7
203,124,7
204,195,13
204,230,13
205,73,8
206,39,7
206,104,7
207,222,14
207,267,14
208,5,3
209,88,1
209,142,1
210,22,9
211,55,7
211,285,7
212,55,7
212,188,7
213,32,10
214,158,7
214,221,7
215,198,7
215,221,7
216,2,4
216,155,4
217,297,2
218,101,3
218,102,3
219,146,3
219,194,3
220,143,8
220,234,8
221,214,7
221,215,7
222,36,13
222,153,13
222,207,14
222,271,14
223,281,4
224,98,12
224,167,12
225,10,7
225,66,7
226,164,9
226,252,9
227,114,5
227,187,5
228,91,9
228,166,9
229,107,13
229,112,13
230,161,13
230,204,13
231,65,12
231,67,12
232,179,1
232,268,1
233,157,11
233,262,3bis
233,286,11
234,170,8
234,220,8
235,7,1
235,142,1
236,77,7bis
237,55,14
237,150,14
237,186,7
237,188,7
238,18,11
238,122,11
239,20,6
239,59,6
240,16,5
240,103,5
241,34,3
241,186,3
242,8,11
242,115,11
243,119,9
243,131,9
244,79,4
244,79,6
244,85,6
244,296,4
245,8,3
245,89,4
245,278,3
245,284,4
246,182,12
246,279,12
247,8,11
247,95,8
247,110,11
247,118,5
247,183,5
247,183,9
247,189,3
247,284,8
247,284,9
247,287,3
248,92,8
248,105,1
248,176,8
248,179,1
249,35,5
249,183,5
250,57,9
250,111,8
250,111,9
250,186,8
251,75,7
251,283,7
252,76,9
252,226,9
253,201,2
253,301,2
254,131,9
254,291,9
255,50,9
255,179,9
256,279,12
256,282,12
257,189,3
257,193,3
258,183,9
258,303,9
259,113,9
259,174,9
260,15,13
260,43,13
261,15,13
262,192,3bis
262,233,3bis
263,82,13
263,294,13
264,181,12
264,199,12
265,184,4
265,276,4
266,79,6
266,109,6
267,90,3
267,113,3
267,144,13
267,150,12
267,150,14
267,174,13
267,207,14
267,290,12
268,19,1
268,232,1
269,41,5
269,103,5
270,60,4
270,184,4
271,156,14
271,222,14
272,16,1
272,115,1
273,97,9
273,174,9
274,177,4
274,276,4
275,58,8
275,95,8
276,265,4
276,274,4
277,82,10
277,130,10
278,34,3
278,245,3
279,149,10
279,246,12
279,256,12
279,293,10
280,40,6
280,191,6
281,165,4
281,223,4
282,9,12
282,256,12
283,106,5
283,120,2
283,120,5
283,126,2
283,145,7
283,251,7
284,29,8
284,29,9
284,51,4
284,245,4
284,247,8
284,247,9
285,124,7
285,211,7
286,202,11
286,233,11
287,8,3
287,247,3
288,48,2
288,70,2
289,158,7
289,200,7
290,181,12
290,267,12
291,27,6
291,116,9
291,190,6
291,254,9
292,64,1
292,188,1
293,82,10
293,279,10
294,117,13
294,263,13
295,65,12
295,302,12
296,177,4
296,244,4
297,48,2
297,217,2
298,135,7
298,300,7
299,300,7
300,298,7
300,299,7
301,90,3
301,163,3
301,175,2
301,253,2
302,191,12
302,295,12
303,50,9
303,258,9
304,163,3
304,194,3
